ref;nump;reg;dpt;com;insee;edif;adresse;leg;lieucor;autp;autoeu;scle;datpv;serie;typdoc;lbase;copy;video_v;video_p;wgs84;filename
APMH00026525;MH0026525;Ile-de-France;78;Bréval;78107;Eglise;;;;Heuzé, Henri (photographe);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/1791/sap01_mh0026525_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/5ca42b415ba2afb0bae786f06e33b388/;48.9466711, 1.5327053;http://www.culture.gouv.fr/Wave/image/memoire/1791/sap01_mh0026525_p.jpg
APMH00016576;MH0016576;Ile-de-France;78;Maisons-Laffitte;78358;Château de Maisons;;Chambre du roi : Porte et lambris;;Durand, Jean-Eugène (photographe);;;1890.03;;Négatif;"PA00087491 ; IA00064664";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0338/sap01_mh016576_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/497cc21eefb7934a789ceb7ea50dadbf/;48.9475239, 2.1531667;http://www.culture.gouv.fr/Wave/image/memoire/0338/sap01_mh016576_p.jpg
APMH00016574;MH0016574;Ile-de-France;78;Maisons-Laffitte;78358;Château de Maisons;;Grand pavillon d'entrée : Façade ouest;;Durand, Jean-Eugène (photographe);;;1919 (avant);;Négatif;"PA00087491 ; IA00064664";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0337/sap01_mh016574_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/ec38fc941f1aee2ebc7efd43b2f780d5/;48.9475239, 2.1531667;http://www.culture.gouv.fr/Wave/image/memoire/0337/sap01_mh016574_p.jpg
APMH00035846;MH0035846;Ile-de-France;77;Melun;77288;Eglise Notre-Dame;;Ensemble sud-ouest;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035846_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/f7bb1c14a1f758d0b96d93f351bd0474/;48.5360236, 2.6600684;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035846_p.jpg
APMH00007342;MH0007342;Ile-de-France;77;Melun;77288;Eglise Notre-Dame;;Nef, vue de l'entrée;;Durand, Eugène (photographe);;;;;Négatif;PA00087096;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0008/sap01_mh007342_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/b4bb4ccaf096190e0591971fb8f2df25/;48.5360236, 2.6600684;http://www.culture.gouv.fr/Wave/image/memoire/0008/sap01_mh007342_p.jpg
APMH00011493;MH0011493;Ile-de-France;77;Melun;77288;Eglise Notre-Dame;;Ensemble ouest;;Durand, Eugène (photographe);;;;;Négatif;PA00087096;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0011/sap01_mh011493_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/7c83b322738ddc3c1b251c8799389222/;48.5360236, 2.6600684;http://www.culture.gouv.fr/Wave/image/memoire/0011/sap01_mh011493_p.jpg
APMH00031641;MH0031641;Ile-de-France;77;Melun;77288;Eglise Saint-Aspais;;Nef, vue diagonale;;Louzier (photographe);;;;;Négatif;PA00087097;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0016/sap01_mh031641_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/324984dad48a466eaa7a69fdc99fff43/;48.5362828, 2.6576775;http://www.culture.gouv.fr/Wave/image/memoire/0016/sap01_mh031641_p.jpg
APMH00035843;MH0035843;Ile-de-France;77;Melun;77288;Eglise Saint-Aspais;;Abside;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035843_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/d6159d9f9eaf009fea59cd5a9913a927/;48.5362828, 2.6576775;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035843_p.jpg
APMH00009662;MH0009662;Ile-de-France;91;Saint-Sulpice-de-Favières;91578;Eglise Saint-Sulpice;;;;Mieusement, Médéric (photographe);;;;;Négatif;PA00088007;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0049/sap01_mh009662_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/2abb6d40d972102ca079b252e198c786/;48.540321, 2.178774;http://www.culture.gouv.fr/Wave/image/memoire/0049/sap01_mh009662_p.jpg
APMH00002955;MH0002955;Ile-de-France;91;Saint-Sulpice-de-Favières;91578;Eglise Saint-Sulpice;;Ensemble ouest;;Mieusement, Médéric (photographe);;;1881.06;;Négatif;PA00088007;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0322/sap01_mh002955_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/9bc9b28b1253972a23ebc42538c5f1e8/;48.540321, 2.178774;http://www.culture.gouv.fr/Wave/image/memoire/0322/sap01_mh002955_p.jpg
